INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Falcon, Jennifer A",AWP 4A - Analytical Writing A (001),WI24,"14
(85.71%)",(N/A),4.67,4.42,4.48,4.63
"Falcon, Jennifer A",AWP 4A - Analytical Writing A (002),WI24,"14
(100.00%)",(N/A),4.86,4.64,4.59,4.68
"Setoda, Kayleigh Kumiko",AWP 4A - Analytical Writing A (003),WI24,"14
(78.57%)",(N/A),5.18,4.84,4.75,4.86
"Setoda, Kayleigh Kumiko",AWP 4A - Analytical Writing A (004),WI24,"13
(92.31%)",(N/A),4.83,4.50,4.53,4.60
"Coulter, Jane Elisabeth",AWP 4A - Analytical Writing A (005),WI24,"14
(92.86%)",(N/A),5.46,4.75,4.67,4.76
"O'Neil, Courtney L",AWP 4A - Analytical Writing A (007),WI24,"14
(71.43%)",(N/A),4.80,4.90,4.90,4.90
"O'Neil, Courtney L",AWP 4A - Analytical Writing A (008),WI24,"14
(85.71%)",(N/A),5.50,4.68,4.65,4.81
"Zroka, Amy Liane",AWP 4A - Analytical Writing A (009),WI24,"13
(53.85%)",(N/A),4.14,4.75,4.82,4.79
"Zroka, Amy Liane",AWP 4A - Analytical Writing A (010),WI24,"13
(61.54%)",(N/A),6.00,4.94,4.78,4.94
"Spicer, Jacqueline",AWP 4A - Analytical Writing A (011),WI24,"13
(69.23%)",(N/A),4.78,4.56,4.58,4.67
"Spicer, Jacqueline",AWP 4A - Analytical Writing A (012),WI24,"13
(69.23%)",(N/A),4.78,4.72,4.72,4.69
"Steinberg, Stacy A",AWP 4A - Analytical Writing A (013),WI24,"13
(69.23%)",(N/A),5.00,4.64,4.75,4.64
"Steinberg, Stacy A",AWP 4A - Analytical Writing A (014),WI24,"13
(76.92%)",(N/A),3.80,4.35,4.48,4.53
"Chandler, Bailee Daniele",AWP 4A - Analytical Writing A (015),WI24,"14
(71.43%)",(N/A),6.60,4.70,4.73,4.73
"Chandler, Bailee Daniele",AWP 4A - Analytical Writing A (016),WI24,"12
(66.67%)",(N/A),7.50,4.72,4.78,4.78
"Tiernan, Christa Michelle",AWP 4A - Analytical Writing A (017),WI24,"13
(69.23%)",(N/A),5.00,4.31,4.36,4.64
"Tiernan, Christa Michelle",AWP 4A - Analytical Writing A (018),WI24,"12
(91.67%)",(N/A),5.73,4.66,4.77,4.93
"Bolin, Jillian",AWP 4A - Analytical Writing A (019),WI24,"14
(78.57%)",(N/A),5.73,4.73,4.73,4.80
"Bolin, Jillian",AWP 4A - Analytical Writing A (020),WI24,"13
(69.23%)",(N/A),5.44,4.57,4.78,4.94
"Bauer, Holly Jean",AWP 4A - Analytical Writing A (021),WI24,"13
(76.92%)",(N/A),4.60,4.21,4.23,4.23
"Vaughn, Kelsey Sara",AWP 4A - Analytical Writing A (022),WI24,"13
(61.54%)",(N/A),4.00,4.66,4.66,4.69
"Vaughn, Kelsey Sara",AWP 4A - Analytical Writing A (023),WI24,"13
(76.92%)",(N/A),5.40,3.90,4.08,4.18
"Ajo, Frances Margaret",AWP 4A - Analytical Writing A (025),WI24,"10
(60.00%)",(N/A),4.00,4.50,4.46,4.29
"Ajo, Frances Margaret",AWP 4A - Analytical Writing A (026),WI24,"12
(66.67%)",(N/A),6.75,4.44,4.38,4.41
"Gilmore, Lauren Monica",AWP 4A - Analytical Writing A (027),WI24,"14
(71.43%)",(N/A),4.80,4.83,4.70,4.83
"Gilmore, Lauren Monica",AWP 4A - Analytical Writing A (028),WI24,"12
(83.33%)",(N/A),5.60,4.83,4.83,4.93
"Heiser, Jerrod A",AWP 4A - Analytical Writing A (029),WI24,"13
(61.54%)",(N/A),4.75,4.66,4.59,4.59
"Heiser, Jerrod A",AWP 4A - Analytical Writing A (030),WI24,"13
(46.15%)",(N/A),4.67,4.83,4.88,5.00
"Jones, William Jadie",AWP 4A - Analytical Writing A (031),WI24,"13
(92.31%)",(N/A),4.50,4.40,4.35,4.63
"Jones, William Jadie",AWP 4A - Analytical Writing A (032),WI24,"14
(57.14%)",(N/A),5.50,4.31,4.09,4.50
"Christie, Veronica Ann",AWP 4A - Analytical Writing A (033),WI24,"13
(92.31%)",(N/A),4.67,4.94,4.88,4.96
"Christie, Veronica Ann",AWP 4A - Analytical Writing A (034),WI24,"13
(69.23%)",(N/A),6.33,4.42,4.53,4.69
"Gardella, Alexander Drew",AWP 4A - Analytical Writing A (037),WI24,"13
(61.54%)",(N/A),4.50,4.41,4.42,4.47
"Gardella, Alexander Drew",AWP 4A - Analytical Writing A (038),WI24,"13
(46.15%)",(N/A),9.00,3.17,2.88,3.67
"Zimmerman, Guy",AWP 4A - Analytical Writing A (039),WI24,"13
(92.31%)",(N/A),5.83,4.65,4.56,4.69
"Zimmerman, Guy",AWP 4A - Analytical Writing A (040),WI24,"14
(78.57%)",(N/A),6.27,4.34,4.44,4.70
"Tsurska Svetina, Olena",AWP 4A - Analytical Writing A (043),WI24,"13
(69.23%)",(N/A),5.67,4.44,4.42,4.49
"Tsurska Svetina, Olena",AWP 4A - Analytical Writing A (044),WI24,"13
(46.15%)",(N/A),5.67,4.38,4.67,4.71
