INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Hopkins, Patrycja Anna",CHEM 6A - General Chemistry I (A00),WI24,"230
(36.52%)",2.81 (B-),5.00,4.22,4.10,4.47
"Lam, Tin Yiu",CHEM 6A - General Chemistry I (B00),WI24,"236
(36.44%)",2.61 (C+),5.59,4.05,4.04,4.40
"Schurmeier, Kimberly",CHEM 6A - General Chemistry I (C00),WI24,"248
(38.31%)",3.17 (B),6.41,4.47,4.49,4.66
"Leigh, Brian",CHEM 6A - General Chemistry I (A00),FA23,"307
(39.74%)",3.13 (B),7.75,4.38,4.36,4.63
"Schurmeier, Kimberly",CHEM 6A - General Chemistry I (B00),FA23,"300
(44.33%)",2.93 (B-),7.52,4.23,4.25,4.53
"Schurmeier, Kimberly",CHEM 6A - General Chemistry I (C00),FA23,"313
(52.08%)",3.17 (B),7.18,4.32,4.29,4.59
"Zid, Brian M",CHEM 6A - General Chemistry I (D00),FA23,"335
(50.45%)",3.09 (B),6.75,4.17,4.11,4.49
"Brydges, Stacey",CHEM 6A - General Chemistry I (E00),FA23,"335
(81.19%)",3.04 (B),6.95,4.17,4.12,4.52
"Brydges, Stacey",CHEM 6A - General Chemistry I (F00),FA23,"319
(72.10%)",2.94 (B-),7.40,4.11,4.11,4.51
"Stallings, Dontarie M",CHEM 6A - General Chemistry I (G00),FA23,"314
(45.54%)",3.36 (B+),7.38,4.47,4.52,4.66
"Stallings, Dontarie M",CHEM 6A - General Chemistry I (H00),FA23,"325
(49.85%)",3.22 (B),7.41,4.44,4.48,4.64
"Vasquez, Carlos Anthony",CHEM 6A - General Chemistry I (A00),S223,"40
(47.50%)",2.96 (B-),6.94,4.63,4.64,4.83
"Mora Garcia, Stephanie L",CHEM 6A - General Chemistry I (A00),S123,"54
(59.26%)",2.65 (C+),6.41,4.36,4.35,4.59
