INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (A00),WI24,"20
(40.00%)",3.97 (A-),3.25,4.23,4.03,4.34
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (B00),WI24,"20
(40.00%)",3.94 (A-),3.25,4.56,4.58,4.61
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (C00),WI24,"20
(35.00%)",3.94 (A-),4.43,4.71,4.50,4.68
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (D00),WI24,"20
(65.00%)",3.42 (B+),4.08,4.25,4.25,4.37
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (E00),WI24,"18
(55.56%)",3.18 (B),4.00,4.15,3.95,4.30
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (F00),WI24,"19
(73.68%)",3.35 (B+),5.00,4.18,4.14,4.37
"Tosun, Adriana",CAT 125R - Pub Rhet & Prac Comm Online (G00),WI24,"19
(52.63%)",3.72 (A-),3.80,4.53,4.44,4.68
"Tosun, Adriana",CAT 125R - Pub Rhet & Prac Comm Online (A00),FA23,"20
(85.00%)",3.76 (A-),5.00,4.54,4.64,4.74
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (B00),FA23,"20
(55.00%)",3.94 (A-),5.00,4.58,4.68,4.80
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (C00),FA23,"20
(45.00%)",3.94 (A-),5.56,4.56,4.53,4.58
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (D00),FA23,"19
(73.68%)",3.42 (B+),5.00,4.32,4.41,4.62
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (E00),FA23,"20
(85.00%)",3.14 (B),5.00,4.01,3.87,4.43
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (F00),FA23,"20
(85.00%)",3.34 (B+),5.29,3.81,3.85,4.26
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (G00),FA23,"19
(26.32%)",3.90 (A-),5.00,4.45,4.30,4.55
"Smith, Lauryn Alissa",CAT 125R - Pub Rhet & Prac Comm Online (A00),S223,"20
(60.00%)",3.28 (B),5.83,4.25,4.49,4.54
"Irwin, Matthew Joseph",CAT 125R - Pub Rhet & Prac Comm Online (C00),S223,"20
(30.00%)",3.91 (A-),6.67,4.71,4.71,4.58
"Irwin, Matthew Joseph",CAT 125R - Pub Rhet & Prac Comm Online (A00),S123,"18
(50.00%)",3.89 (A-),6.67,4.00,4.00,4.06
"Hyland, Tina Mae",CAT 125R - Pub Rhet & Prac Comm Online (C00),S123,"19
(31.58%)",3.94 (A-),5.83,4.35,4.52,4.67
"Vanderschuit, Maya Alysia",CAT 125R - Pub Rhet & Prac Comm Online (D00),S123,"19
(63.16%)",3.78 (A-),6.25,4.48,4.21,4.37
"Vanderschuit, Maya Alysia",CAT 125R - Pub Rhet & Prac Comm Online (F00),S123,"19
(21.05%)",3.53 (B+),5.00,4.19,3.81,4.13
