INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Draper, Matthew William",INTL 190 - Seminar/International Studies (C00),WI24,"11
(27.27%)",3.82 (A-),7.00,4.58,4.67,4.67
"Patterson, Patrick H.",INTL 190 - Seminar/International Studies (D00),WI24,"11
(81.82%)",3.62 (B+),9.22,4.72,4.64,4.75
"Feeley, Maureen Catherine",INTL 190 - Seminar/International Studies (E00),WI24,"17
(23.53%)",3.64 (B+),8.50,4.94,4.94,5.00
"Fortier, Jana",INTL 190 - Seminar/International Studies (F00),WI24,"20
(35.00%)",3.71 (A-),4.71,4.43,4.32,4.57
"Nadkarni, Vidya",INTL 190 - Seminar/International Studies (G00),WI24,"17
(41.18%)",3.31 (B+),6.14,4.57,4.43,4.57
"Day, Joel Keith",INTL 190 - Seminar/International Studies (H00),WI24,"19
(42.11%)",3.69 (B+),7.75,4.78,4.78,4.91
"Lettieri, Michael Joseph",INTL 190 - Seminar/International Studies (I00),WI24,"15
(60.00%)",3.37 (B+),5.67,4.92,4.86,4.94
"Segui, Alan S",INTL 190 - Seminar/International Studies (B00),FA23,"21
(33.33%)",3.03 (B),7.86,4.46,4.50,4.57
"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (E00),FA23,"14
(100.00%)",3.38 (B+),6.07,4.57,4.55,4.79
"Auerbach, Bradford C",INTL 190 - Seminar/International Studies (F00),FA23,"13
(76.92%)",2.90 (B-),6.00,4.68,4.62,4.79
"Scott, Jeffrey F",INTL 190 - Seminar/International Studies (G00),FA23,"10
(30.00%)",3.47 (B+),8.33,5.00,5.00,5.00
"Lee, Munseob",INTL 190 - Seminar/International Studies (I00),FA23,"10
(30.00%)",3.60 (B+),5.00,4.50,4.67,4.58
"Gagnon, Jeffrey C",INTL 190 - Seminar/International Studies (A00),S223,"14
(21.43%)",3.67 (B+),8.33,4.92,4.83,4.75
"Segui, Alan S",INTL 190 - Seminar/International Studies (B00),S123,"14
(28.57%)",3.03 (B),7.50,4.50,4.75,4.94
