INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Sato, Kyoko",JAPN 10A - First Year Japanese I (A00),FA23,"21
(47.62%)",3.16 (B),7.00,4.40,4.43,4.60
"Kamioka, Sachiko",JAPN 10A - First Year Japanese I (B00),FA23,"23
(60.87%)",3.59 (B+),7.14,4.64,4.64,4.64
"Ross, Kayoko F",JAPN 10A - First Year Japanese I (C00),FA23,"25
(52.00%)",3.49 (B+),6.54,4.38,4.46,4.71
"Iwamoto, Naoki",JAPN 10A - First Year Japanese I (D00),FA23,"20
(50.00%)",3.31 (B+),7.00,4.97,4.95,5.00
"McKee, Mayumi Mochizuki",JAPN 10A - First Year Japanese I (E00),FA23,"27
(77.78%)",3.32 (B+),6.67,4.57,4.63,4.70
"Inada, Minori",JAPN 10A - First Year Japanese I (F00),FA23,"25
(80.00%)",3.56 (B+),6.25,4.88,4.74,4.90
"Maruyama, Rie",JAPN 10A - First Year Japanese I (G00),FA23,"24
(50.00%)",3.56 (B+),6.67,4.65,4.62,4.67
"Tipton, Yuko",JAPN 10A - First Year Japanese I (H00),FA23,"23
(69.57%)",3.18 (B),6.56,4.91,4.78,4.73
"Homma, Kunihiko",JAPN 10A - First Year Japanese I (I00),FA23,"24
(41.67%)",3.51 (B+),5.50,4.95,4.98,4.95
"McKee, Mayumi Mochizuki",JAPN 10A - First Year Japanese I (J00),FA23,"25
(68.00%)",3.48 (B+),6.47,4.60,4.51,4.72
"Sato, Kyoko",JAPN 10A - First Year Japanese I (K00),FA23,"22
(63.64%)",3.94 (A-),4.64,4.41,4.39,4.75
"Maruyama, Rie",JAPN 10A - First Year Japanese I (L00),FA23,"23
(56.52%)",3.76 (A-),6.92,4.67,4.69,4.83
"Tipton, Yuko",JAPN 10A - First Year Japanese I (M00),FA23,"25
(84.00%)",3.36 (B+),7.38,4.75,4.72,4.75
"Homma, Kunihiko",JAPN 10A - First Year Japanese I (N00),FA23,"19
(63.16%)",3.36 (B+),6.67,4.83,4.67,4.81
"Ross, Kayoko F",JAPN 10A - First Year Japanese I (P00),FA23,"20
(40.00%)",2.55 (C+),5.63,4.19,4.13,4.50
