INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Maruyama, Rie",JAPN 10B - First Year Japanese II (A00),WI24,"12
(83.33%)",3.59 (B+),4.40,4.73,4.63,4.65
"Ross, Kayoko F",JAPN 10B - First Year Japanese II (B00),WI24,"5
(80.00%)",3.18 (B),8.00,4.38,4.00,4.38
"Kamioka, Sachiko",JAPN 10B - First Year Japanese II (C00),WI24,"23
(52.17%)",3.35 (B+),4.67,4.73,4.75,4.74
"McKee, Mayumi Mochizuki",JAPN 10B - First Year Japanese II (D00),WI24,"20
(40.00%)",3.33 (B+),5.25,4.72,4.55,4.84
"Homma, Kunihiko",JAPN 10B - First Year Japanese II (E00),WI24,"23
(86.96%)",3.70 (A-),4.37,4.90,4.86,4.89
"Iwamoto, Naoki",JAPN 10B - First Year Japanese II (F00),WI24,"23
(34.78%)",3.73 (A-),5.50,4.88,4.88,4.84
"Inada, Minori",JAPN 10B - First Year Japanese II (G00),WI24,"22
(90.91%)",3.49 (B+),4.37,4.71,4.74,4.73
"Ross, Kayoko F",JAPN 10B - First Year Japanese II (H00),WI24,"7
(42.86%)",3.00 (B),5.67,5.00,4.92,4.92
"Tipton, Yuko",JAPN 10B - First Year Japanese II (I00),WI24,"21
(85.71%)",3.12 (B),5.56,4.85,4.75,4.85
"Sato, Kyoko",JAPN 10B - First Year Japanese II (J00),WI24,"25
(52.00%)",3.71 (A-),5.00,4.60,4.71,4.63
"Maruyama, Rie",JAPN 10B - First Year Japanese II (K00),WI24,"24
(62.50%)",3.72 (A-),4.87,4.95,4.85,4.97
"Inada, Minori",JAPN 10B - First Year Japanese II (L00),WI24,"13
(46.15%)",3.25 (B),5.00,4.75,4.45,4.75
"Tipton, Yuko",JAPN 10B - First Year Japanese II (M00),WI24,"17
(52.94%)",3.46 (B+),4.56,4.83,4.72,4.80
