INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Habib, Yousaf",MATH 10B - Calculus II (A00),WI24,"183
(24.59%)",2.44 (C+),6.60,3.53,3.53,4.10
"Huang, Lei",MATH 10B - Calculus II (B00),WI24,"195
(32.82%)",2.66 (C+),6.00,3.28,3.22,4.04
"Bowers, Adam R.",MATH 10B - Calculus II (C00),WI24,"299
(32.11%)",2.50 (C+),5.99,3.89,3.81,4.28
"Lahiri, Aranya",MATH 10B - Calculus II (D00),WI24,"200
(29.00%)",2.79 (B-),6.41,3.85,3.86,4.33
"Lahiri, Aranya",MATH 10B - Calculus II (E00),WI24,"261
(28.35%)",2.74 (B-),6.37,3.98,3.85,4.39
"Parise, Davide",MATH 10B - Calculus II (A00),FA23,"175
(38.86%)",2.23 (C),6.25,3.73,3.74,4.25
"Parise, Davide",MATH 10B - Calculus II (B00),FA23,"238
(37.82%)",2.94 (B-),6.28,3.75,3.83,4.27
"He, Gaojin",MATH 10B - Calculus II (C00),FA23,"186
(40.32%)",2.71 (B-),7.16,3.15,3.01,3.90
"Bowers, Adam R.",MATH 10B - Calculus II (A00),S223,"109
(16.51%)",2.07 (C),8.89,3.31,3.31,3.92
"Bowers, Adam R.",MATH 10B - Calculus II (B00),S223,"109
(20.18%)",2.28 (C),7.50,3.59,3.50,4.30
"Zhang, Ming",MATH 10B - Calculus II (A00),S123,"100
(21.00%)",2.86 (B-),7.86,4.08,4.21,4.51
"Liu, Zeyu",MATH 10B - Calculus II (B00),S123,"92
(19.57%)",2.43 (C+),7.50,4.20,4.27,4.50
