INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Treuer, John N",MATH 18 - Linear Algebra (A00),WI24,"187
(29.41%)",2.61 (C+),6.52,4.46,4.19,4.50
"Rhoades, Brendon Patrick",MATH 18 - Linear Algebra (B00),WI24,"558
(36.38%)",2.60 (C+),6.43,4.14,3.93,4.43
"Treuer, John N",MATH 18 - Linear Algebra (C00),WI24,"191
(36.65%)",2.56 (C+),5.60,4.08,3.85,4.27
"Anzaldo, Leesa B",MATH 18 - Linear Algebra (A00),FA23,"582
(34.19%)",2.97 (B-),7.91,4.35,4.29,4.50
"Agrawal, Shishir",MATH 18 - Linear Algebra (B00),FA23,"188
(39.36%)",2.83 (B-),7.57,4.08,3.87,4.34
"Agrawal, Shishir",MATH 18 - Linear Algebra (C00),FA23,"181
(43.65%)",2.92 (B-),7.95,4.09,3.90,4.28
"Pardo Guerra, Sebastian",MATH 18 - Linear Algebra (D00),FA23,"115
(39.13%)",2.17 (C),7.27,3.88,3.47,4.08
"Bach, Quang Tran",MATH 18 - Linear Algebra (A00),S223,"46
(26.09%)",2.80 (B-),8.75,4.44,4.34,4.48
"Bach, Quang Tran",MATH 18 - Linear Algebra (B00),S223,"54
(16.67%)",2.67 (C+),7.78,4.34,4.39,4.58
"Tran, Brian Kha",MATH 18 - Linear Algebra (A00),S123,"46
(36.96%)",2.81 (B-),8.82,4.01,3.96,4.35
"Tran, Brian Kha",MATH 18 - Linear Algebra (B00),S123,"86
(45.35%)",2.67 (C+),8.97,3.89,3.88,4.39
