INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),WI24,"151
(23.84%)",2.71 (B-),6.66,4.51,4.31,4.51
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),WI24,"184
(34.78%)",2.55 (C+),6.63,4.21,3.97,4.38
"Ohm, Ko Woon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C00),WI24,"588
(34.52%)",2.49 (C+),6.08,4.31,4.21,4.48
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),FA23,"178
(38.76%)",2.71 (B-),7.25,4.42,4.37,4.49
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),FA23,"190
(44.74%)",2.55 (C+),7.53,4.22,4.17,4.49
"Safii, Soheil",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C00),FA23,"168
(38.10%)",2.34 (C+),7.19,4.41,4.22,4.46
"Ioana, Adrian",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (D00),FA23,"545
(39.45%)",2.64 (C+),6.93,4.29,4.22,4.45
"Harel, Guershon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),S223,"55
(16.36%)",2.42 (C+),8.89,3.53,3.19,3.74
"Harel, Guershon",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),S223,"42
(16.67%)",1.59 (D+),9.29,3.14,3.04,3.33
"Petrovic, Drazen",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),S123,"115
(20.87%)",3.10 (B),7.92,4.55,4.33,4.52
"Petrovic, Drazen",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B00),S123,"104
(14.42%)",3.16 (B),8.33,4.25,4.17,4.31
"Zhang, Ming",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A00),SP23,"180
(60.00%)",2.94 (B-),6.64,4.27,4.18,4.42
