INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Wastal, Carrie King",MCWP 50 - Critical Writing (001),WI24,"15
(100.00%)",3.43 (B+),6.33,4.45,4.42,4.49
"Redela, Pamela Morgan",MCWP 50 - Critical Writing (002),WI24,"20
(60.00%)",2.80 (B-),5.67,4.10,4.17,4.54
"Redela, Pamela Morgan",MCWP 50 - Critical Writing (003),WI24,"20
(50.00%)",3.21 (B),8.40,4.50,4.53,4.68
"Carter, Andrea L",MCWP 50 - Critical Writing (004),WI24,"20
(85.00%)",3.26 (B),8.06,4.03,4.12,4.68
"Redela, Pamela Morgan",MCWP 50 - Critical Writing (005),WI24,"18
(66.67%)",3.21 (B),7.73,4.19,4.10,4.48
"Carter, Andrea L",MCWP 50 - Critical Writing (006),WI24,"19
(94.74%)",3.37 (B+),7.44,3.82,3.76,4.44
"Carter, Andrea L",MCWP 50 - Critical Writing (007),WI24,"19
(89.47%)",3.46 (B+),6.50,3.91,3.90,4.47
"Morshed, Michael James",MCWP 50 - Critical Writing (008),WI24,"18
(44.44%)",3.52 (B+),8.25,4.50,4.53,4.63
"Morshed, Michael James",MCWP 50 - Critical Writing (009),WI24,"21
(47.62%)",2.83 (B-),7.00,4.63,4.85,4.93
"Smith, Haydee Marie",MCWP 50 - Critical Writing (010),WI24,"20
(30.00%)",3.31 (B+),7.00,4.50,4.75,4.91
"Smith, Haydee Marie",MCWP 50 - Critical Writing (011),WI24,"19
(26.32%)",3.12 (B),6.20,4.80,4.90,4.95
"Smith, Haydee Marie",MCWP 50 - Critical Writing (012),WI24,"20
(55.00%)",3.31 (B+),5.73,4.52,4.67,4.86
"Pham, Vincent Minhduc",MCWP 50 - Critical Writing (013),WI24,"21
(80.95%)",2.72 (B-),8.25,3.83,3.74,4.20
"Pham, Vincent Minhduc",MCWP 50 - Critical Writing (014),WI24,"21
(90.48%)",3.27 (B),8.58,3.76,3.51,4.21
"Bartulis, Jason Michael",MCWP 50 - Critical Writing (015),WI24,"20
(30.00%)",3.29 (B),8.20,4.17,4.54,4.71
"Silva, Kelly B",MCWP 50 - Critical Writing (017),WI24,"20
(80.00%)",2.93 (B-),6.38,4.45,4.38,4.63
"Silva, Kelly B",MCWP 50 - Critical Writing (018),WI24,"20
(65.00%)",3.04 (B),6.85,4.67,4.71,4.87
"Silva, Kelly B",MCWP 50 - Critical Writing (019),WI24,"20
(80.00%)",3.10 (B),6.38,4.20,4.33,4.56
"Nies, Laurie Elizabeth",MCWP 50 - Critical Writing (021),WI24,"20
(80.00%)",3.43 (B+),6.38,4.59,4.69,4.70
"Morshed, Michael James",MCWP 50 - Critical Writing (022),WI24,"19
(68.42%)",3.16 (B),7.31,4.56,4.65,4.71
"Bartulis, Jason Michael",MCWP 50 - Critical Writing (023),WI24,"18
(33.33%)",3.28 (B),7.33,3.83,4.33,4.63
"Bartulis, Jason Michael",MCWP 50 - Critical Writing (024),WI24,"21
(57.14%)",3.11 (B),9.00,4.46,4.40,4.71
"Pham, Vincent Minhduc",MCWP 50 - Critical Writing (025),WI24,"14
(85.71%)",3.49 (B+),6.83,4.10,4.23,4.60
"Krone, Jarret",MCWP 50 - Critical Writing (026),WI24,"20
(80.00%)",3.38 (B+),6.38,4.52,4.38,4.74
"Krone, Jarret",MCWP 50 - Critical Writing (027),WI24,"20
(50.00%)",3.35 (B+),6.80,4.20,4.33,4.83
"Krone, Jarret",MCWP 50 - Critical Writing (028),WI24,"19
(73.68%)",3.44 (B+),7.57,4.55,4.63,4.87
"Carter, Jennifer A",MCWP 50 - Critical Writing (029),WI24,"20
(30.00%)",3.08 (B),5.00,4.33,4.33,4.29
"Carter, Jennifer A",MCWP 50 - Critical Writing (030),WI24,"20
(25.00%)",2.71 (B-),6.20,4.15,4.15,4.70
"Carter, Jennifer A",MCWP 50 - Critical Writing (034),WI24,"18
(27.78%)",2.43 (C+),6.20,4.30,4.10,4.70
"Wastal, Carrie King",MCWP 50 - Critical Writing (001),FA23,"15
(86.67%)",3.43 (B+),7.69,4.67,4.60,4.69
"Morshed, Michael James",MCWP 50 - Critical Writing (002),FA23,"18
(88.89%)",3.06 (B),7.50,4.16,4.28,4.70
"Morshed, Michael James",MCWP 50 - Critical Writing (003),FA23,"19
(73.68%)",2.68 (C+),7.50,3.87,4.05,4.34
"Morshed, Michael James",MCWP 50 - Critical Writing (004),FA23,"19
(42.11%)",3.13 (B),8.13,3.59,3.88,4.68
"Silva, Kelly B",MCWP 50 - Critical Writing (005),FA23,"16
(93.75%)",3.01 (B),6.79,4.41,4.48,4.80
"Silva, Kelly B",MCWP 50 - Critical Writing (006),FA23,"20
(95.00%)",2.69 (C+),7.89,4.57,4.61,4.79
"Silva, Kelly B",MCWP 50 - Critical Writing (007),FA23,"20
(90.00%)",2.97 (B-),7.65,4.03,4.17,4.72
