INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (004),FA23,"29
(17.24%)",2.76 (B-),10.00,1.10,1.18,2.75
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (022),FA23,"28
(10.71%)",3.28 (B),5.00,3.33,3.33,4.40
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (030),FA23,"27
(11.11%)",2.94 (B-),8.33,1.17,1.08,1.33
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (031),FA23,"29
(13.79%)",3.07 (B),5.00,2.40,2.17,3.20
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (034),FA23,"30
(13.33%)",2.75 (B-),7.50,2.27,1.93,2.31
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (035),FA23,"25
(16.00%)",3.00 (B),8.75,1.88,2.00,2.23
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (036),FA23,"31
(12.90%)",3.34 (B+),7.50,3.73,2.69,3.18
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (038),FA23,"26
(11.54%)",2.49 (C+),6.67,3.50,2.38,
"Singh, Shruti",PHYS 1AL - Mechanics Laboratory (001),S223,"30
(16.67%)",3.63 (B+),6.00,4.35,4.16,4.11
"Singh, Shruti",PHYS 1AL - Mechanics Laboratory (002),S223,"30
(20.00%)",3.33 (B+),5.83,4.26,4.19,4.33
"Singh, Shruti",PHYS 1AL - Mechanics Laboratory (001),S123,"29
(24.14%)",3.63 (B+),6.43,3.73,3.77,4.13
"Singh, Shruti",PHYS 1AL - Mechanics Laboratory (002),S123,"26
(34.62%)",3.33 (B+),7.22,3.97,3.92,4.00
