INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"McKay, Mary A",MGT 164 - Business and Org Leadership (A00),WI24,"48
(77.08%)",2.54 (C+),6.11,4.28,4.07,4.37
"McKay, Mary A",MGT 164 - Business and Org Leadership (B00),WI24,"74
(79.73%)",2.64 (C+),4.38,4.12,3.81,4.17
"Meyer, Alison Bloomfield",MGT 164 - Business and Org Leadership (C00),WI24,"84
(80.95%)",3.33 (B+),4.50,4.30,4.29,4.28
"Zimmermann, Carsten",MGT 164 - Business and Org Leadership (D00),WI24,"90
(76.67%)",3.46 (B+),4.94,4.17,4.09,4.30
"Campbell, Elizabeth L",MGT 164 - Business and Org Leadership (E00),WI24,"86
(77.91%)",3.32 (B+),3.58,4.38,4.36,4.54
"McKay, Mary A",MGT 164 - Business and Org Leadership (A00),FA23,"81
(81.48%)",2.54 (C+),6.44,4.25,4.14,4.55
"McKay, Mary A",MGT 164 - Business and Org Leadership (B00),FA23,"87
(78.16%)",2.64 (C+),6.18,4.06,3.83,4.43
"McKay, Mary A",MGT 164 - Business and Org Leadership (C00),FA23,"85
(74.12%)",2.71 (B-),5.79,4.09,3.87,4.42
"Meyer, Alison Bloomfield",MGT 164 - Business and Org Leadership (D00),FA23,"87
(21.84%)",3.36 (B+),6.05,4.00,4.03,4.05
"Zimmermann, Carsten",MGT 164 - Business and Org Leadership (E00),FA23,"90
(70.00%)",3.51 (B+),5.63,4.26,4.30,4.55
"Zimmermann, Carsten",MGT 164 - Business and Org Leadership (A00),S223,"90
(77.78%)",3.56 (B+),6.47,4.27,4.10,4.35
