INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (A00),WI24,"319
(71.16%)",3.15 (B),5.31,4.37,4.41,4.66
"Owens, Melinda Tsao-Ying",BILD 1 - The Cell (B00),WI24,"318
(73.58%)",3.04 (B),5.31,4.50,4.52,4.70
"Madigan, Cressida Ariana",BILD 1 - The Cell (C00),WI24,"327
(68.50%)",3.63 (B+),4.49,4.08,4.11,4.36
"Cooper, Andrew Michael",BILD 1 - The Cell (A00),FA23,"408
(77.94%)",2.85 (B-),6.43,4.35,4.17,4.56
"Cooper, Andrew Michael",BILD 1 - The Cell (B00),FA23,"410
(78.05%)",2.96 (B-),5.81,4.39,4.24,4.58
"Meaders, Clara Leigh",BILD 1 - The Cell (C00),FA23,"413
(62.95%)",3.18 (B),6.46,4.28,4.41,4.63
"Blankenchip, Chelsea Lee",BILD 1 - The Cell (A00),S223,"40
(55.00%)",3.33 (B+),5.95,4.59,4.59,4.68
"Reuther, Keefe",BILD 1 - The Cell (B00),S223,N/A,3.03 (B),5.83,4.11,4.07,4.68
"Pickett, Brooke Elizabeth",BILD 1 - The Cell (A00),S123,"142
(78.17%)",2.82 (B-),6.73,4.15,4.04,4.41
"Meaders, Clara Leigh",BILD 1 - The Cell (B00),SP23,"252
(63.89%)",3.22 (B),6.30,4.31,4.44,4.70
"Cooper, Andrew Michael",BILD 1 - The Cell (C00),SP23,"70
(54.29%)",2.87 (B-),6.05,4.17,3.95,4.31
