INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Meaders, Clara Leigh",BIMM 101 - Recombinant DNA Techniques (A00),WI24,"48
(81.25%)",3.71 (A-),5.62,4.65,4.67,4.77
"Tour, Ella",BIMM 101 - Recombinant DNA Techniques (B00),WI24,"52
(40.38%)",3.67 (B+),6.05,4.29,4.33,4.59
"Cooper, Andrew Michael",BIMM 101 - Recombinant DNA Techniques (C00),WI24,"92
(93.48%)",3.49 (B+),7.28,4.24,3.92,4.31
"Rusert, Jessica Marie",BIMM 101 - Recombinant DNA Techniques (D00),WI24,"92
(40.22%)",3.24 (B),8.05,4.10,3.95,4.29
"Day, Christopher D",BIMM 101 - Recombinant DNA Techniques (A00),FA23,"99
(29.29%)",3.37 (B+),6.38,4.17,3.95,4.34
"Grossman, Emily N",BIMM 101 - Recombinant DNA Techniques (C00),FA23,"46
(76.09%)",3.84 (A-),6.14,4.67,4.60,4.76
"Rusert, Jessica Marie",BIMM 101 - Recombinant DNA Techniques (D00),FA23,"93
(36.56%)",3.25 (B),7.35,4.38,4.39,4.72
"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (E00),FA23,"45
(35.56%)",3.71 (A-),7.81,4.61,4.56,4.80
"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (A00),S223,"48
(10.42%)",3.02 (B),9.00,4.20,4.30,4.60
"McDonnell, Lisa Marie",BIMM 101 - Recombinant DNA Techniques (B00),S223,"47
(34.04%)",3.48 (B+),9.69,4.65,4.50,4.78
"Meaders, Clara Leigh",BIMM 101 - Recombinant DNA Techniques (A00),SP23,"46
(71.74%)",3.71 (A-),6.36,4.65,4.64,4.83
