INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (A00),WI24,"28
(28.57%)",3.65 (B+),2.50,3.69,3.94,4.16
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (B00),WI24,"30
(50.00%)",3.88 (A-),4.29,4.57,4.68,4.68
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),WI24,"29
(37.93%)",3.91 (A-),4.09,4.41,4.68,4.80
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (E00),WI24,"18
(66.67%)",3.77 (A-),4.33,4.56,4.67,4.66
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (G00),WI24,"29
(58.62%)",3.92 (A-),4.13,4.60,4.87,4.90
"Gere, Catherina M.",SYN 100 - Engaging/Changing Planet (H00),WI24,"28
(28.57%)",3.85 (A-),5.00,4.47,4.47,4.42
"Rock, Martin",SYN 100 - Engaging/Changing Planet (I00),WI24,"30
(83.33%)",3.88 (A-),3.56,4.39,4.30,4.44
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (J00),WI24,"30
(60.00%)",3.91 (A-),4.41,4.14,4.30,4.38
"Browne, Emily",SYN 100 - Engaging/Changing Planet (K00),WI24,"30
(66.67%)",3.87 (A-),3.00,4.48,4.66,4.81
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (L00),WI24,"27
(40.74%)",3.94 (A-),4.64,4.61,4.64,4.77
"Gormally, Brenna",SYN 100 - Engaging/Changing Planet (B00),FA23,"30
(46.67%)",3.96 (A-),6.07,4.39,4.50,4.71
"Rock, Martin",SYN 100 - Engaging/Changing Planet (C00),FA23,"30
(20.00%)",3.86 (A-),5.00,4.96,5.00,5.00
"Tawater, Hanna Jean",SYN 100 - Engaging/Changing Planet (D00),FA23,"29
(27.59%)",3.91 (A-),5.63,4.38,4.42,4.66
"Rock, Martin",SYN 100 - Engaging/Changing Planet (E00),FA23,"29
(31.03%)",3.94 (A-),5.00,4.61,4.67,4.75
"Browne, Emily",SYN 100 - Engaging/Changing Planet (H00),FA23,"30
(90.00%)",3.94 (A-),5.56,4.18,4.64,4.78
"Iatarola, Briana Marie",SYN 100 - Engaging/Changing Planet (J00),FA23,"29
(41.38%)",4.00 (A),6.25,4.71,4.80,4.91
"Gerth, Karl G.",SYN 100 - Engaging/Changing Planet (L00),FA23,"29
(31.03%)",3.99 (A-),5.56,4.25,4.33,4.37
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (M00),FA23,"30
(30.00%)",3.95 (A-),5.56,4.69,4.74,4.75
"Rosenberg, Ryan Glenn",SYN 100 - Engaging/Changing Planet (N00),FA23,"30
(40.00%)",3.95 (A-),5.42,4.17,4.19,4.49
"Deavenport, James Cary",SYN 100 - Engaging/Changing Planet (R00),FA23,"27
(22.22%)",3.91 (A-),5.00,4.00,4.48,4.65
"Atkinson, Arthur Laird",SYN 100 - Engaging/Changing Planet (S00),FA23,"28
(32.14%)",3.74 (A-),5.00,4.57,4.44,4.60
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S223,"20
(30.00%)",3.95 (A-),7.50,4.65,4.82,4.58
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (A00),S123,"16
(62.50%)",4.00 (A),6.00,4.95,4.90,4.74
"Meyer, Leslie Rose",SYN 100 - Solutions/Changing Planet (B00),S123,"16
(18.75%)",3.95 (A-),5.00,5.00,4.92,5.00
"Gormally, Brenna",SYN 100 - Solutions/Changing Planet (A00),SP23,"29
(41.38%)",3.98 (A-),5.42,4.83,4.73,4.85
"Gladstein, Jill M",SYN 100 - Solutions/Changing Planet (E00),SP23,"29
(17.24%)",3.87 (A-),6.00,4.47,4.63,4.63
"Rosenberg, Ryan Glenn",SYN 100 - Solutions/Changing Planet (F00),SP23,"30
(46.67%)",3.89 (A-),5.00,4.60,4.78,4.84
