INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),WI24,"22
(22.73%)",3.79 (A-),1.80,4.75,4.63,4.86
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (B00),WI24,"22
(22.73%)",3.70 (A-),3.00,4.26,4.12,4.25
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C00),WI24,"20
(25.00%)",3.86 (A-),3.40,4.50,4.40,4.38
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (D00),WI24,"20
(20.00%)",3.95 (A-),2.00,4.50,4.56,4.63
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E00),WI24,"23
(17.39%)",3.87 (A-),4.00,4.50,4.31,4.25
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F00),WI24,"20
(20.00%)",3.98 (A-),2.00,4.75,4.91,
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (G00),WI24,"23
(21.74%)",3.91 (A-),3.00,4.53,3.93,4.08
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),FA23,"21
(28.57%)",3.79 (A-),4.17,4.38,4.25,4.04
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (B00),FA23,"20
(20.00%)",3.70 (A-),5.00,4.75,4.77,4.89
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (C00),FA23,"20
(30.00%)",3.86 (A-),5.83,4.17,3.83,3.75
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (D00),FA23,"21
(42.86%)",3.95 (A-),4.44,4.53,4.50,4.42
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (E00),FA23,"20
(20.00%)",3.87 (A-),6.25,4.88,4.92,4.67
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (F00),FA23,"20
(40.00%)",3.98 (A-),5.63,4.04,3.88,3.82
"Walsh, Kim C.",TDAC 1 - Introduction to Acting (A00),S223,"19
(52.63%)",3.79 (A-),5.50,4.85,4.85,4.89
"Salovey, Todd",TDAC 1 - Introduction to Acting (A00),S123,"16
(18.75%)",3.62 (B+),5.00,5.00,5.00,5.00
"Harting, Carla Kelso",TDAC 1 - Introduction to Acting (B00),S123,"18
(50.00%)",3.78 (A-),5.00,4.92,4.97,5.00
