INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"McCleary, Keith Long",WCWP 100 - Academic Writing (A00),WI24,"20
(70.00%)",3.71 (A-),5.79,4.77,4.79,4.84
"McCleary, Keith Long",WCWP 100 - Academic Writing (B00),WI24,"20
(90.00%)",3.59 (B+),5.44,4.49,4.50,4.56
"McCleary, Keith Long",WCWP 100 - Academic Writing (C00),WI24,"19
(73.68%)",3.83 (A-),6.14,4.82,4.88,4.89
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (D00),WI24,"20
(75.00%)",3.55 (B+),4.57,4.73,4.58,4.60
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (E00),WI24,"20
(70.00%)",3.89 (A-),4.43,4.93,4.91,4.93
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (F00),WI24,"20
(55.00%)",3.59 (B+),6.00,4.98,4.98,4.91
"Young, Mark T",WCWP 100 - Academic Writing (G00),WI24,"20
(90.00%)",3.76 (A-),4.22,4.88,4.83,4.92
"Young, Mark T",WCWP 100 - Academic Writing (H00),WI24,"19
(84.21%)",3.90 (A-),4.88,4.66,4.70,4.89
"McCleary, Keith Long",WCWP 100 - Academic Writing (A00),FA23,"20
(85.00%)",3.71 (A-),5.88,4.71,4.85,4.90
"McCleary, Keith Long",WCWP 100 - Academic Writing (B00),FA23,"20
(65.00%)",3.59 (B+),6.54,4.35,4.67,4.83
"McCleary, Keith Long",WCWP 100 - Academic Writing (C00),FA23,"20
(80.00%)",3.83 (A-),5.94,4.56,4.84,4.84
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (D00),FA23,"20
(70.00%)",3.54 (B+),6.43,4.84,4.68,4.80
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (E00),FA23,"20
(60.00%)",3.89 (A-),5.00,4.98,4.96,4.96
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (F00),FA23,"20
(45.00%)",3.59 (B+),6.11,4.92,4.92,4.94
"Young, Mark T",WCWP 100 - Academic Writing (G00),FA23,"20
(75.00%)",3.76 (A-),5.33,4.67,4.66,4.80
"Young, Mark T",WCWP 100 - Academic Writing (H00),FA23,"20
(90.00%)",3.90 (A-),6.39,4.56,4.74,4.78
"Young, Mark T",WCWP 100 - Academic Writing (I00),FA23,"20
(95.00%)",3.99 (A-),5.26,4.79,4.83,4.91
"Twohig, Niall Ivan",WCWP 100 - Academic Writing (A00),S123,"9
(44.44%)",4.00 (A),6.25,5.00,5.00,4.94
