INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Ornelas, Tricia",WCWP 10B - The Writing Course B (005),WI24,"20
(30.00%)",3.50 (B+),4.00,4.83,4.75,4.83
"Gagnon, Jeffrey C",WCWP 10B - The Writing Course B (006),WI24,"20
(15.00%)",3.57 (B+),5.00,,,
"Gagnon, Jeffrey C",WCWP 10B - The Writing Course B (007),WI24,"19
(36.84%)",3.93 (A-),4.71,3.86,3.96,3.96
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (008),WI24,"20
(65.00%)",3.81 (A-),5.46,4.44,4.52,4.60
"Gagnon, Jeffrey C",WCWP 10B - The Writing Course B (009),WI24,"19
(63.16%)",3.80 (A-),5.17,4.65,4.60,4.65
"Ornelas, Tricia",WCWP 10B - The Writing Course B (012),WI24,"20
(55.00%)",3.67 (B+),5.00,4.89,4.95,4.89
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (005),SP23,"14
(21.43%)",3.87 (A-),5.00,4.67,4.83,4.75
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (006),SP23,"14
(28.57%)",3.39 (B+),5.00,4.63,4.69,4.75
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (008),SP23,"14
(28.57%)",3.81 (A-),5.00,4.50,4.53,4.57
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (012),SP23,"15
(33.33%)",3.82 (A-),6.00,4.40,4.50,4.50
"Welji, Haleema Nazir",WCWP 10B - The Writing Course B (016),SP23,"20
(30.00%)",3.69 (B+),6.67,4.57,4.70,4.61
