INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Peter W Gilbert,AWP 3 - Analytical Writing,WI24,22,77.27,2.93,8.60,4.20,3.90,4.30
Graham T Hall,AWP 3 - Analytical Writing,WI24,16,93.75,3.07,8.56,4.75,4.86,4.94
Natalie Ann Wilson,AWP 3 - Analytical Writing,WI24,15,93.33,2.52,6.60,4.30,4.37,4.55
Melinda G Grant,AWP 3 - Analytical Writing,WI24,16,93.75,2.62,8.33,4.50,4.50,4.67
Geoffrey Scott West,AWP 3 - Analytical Writing,WI24,9,100.0,2.2,6.11,4.63,4.44,4.64
Alexandra Sartor,AWP 3 - Analytical Writing,WI24,16,87.5,2.66,6.43,4.14,4.29,4.54
Schuyler E. Eastin,AWP 3 - Analytical Writing,WI24,20,70.0,2.16,4.33,4.42,4.58,4.67
Samuel Kolodezh,AWP 3 - Analytical Writing,WI24,21,85.71,2.48,8.00,4.38,4.69,4.94
William Allan Given,AWP 3 - Analytical Writing,FA23,14,85.71,2.67,7.08,4.58,4.63,4.79
Peter W Gilbert,AWP 3 - Analytical Writing,FA23,42,92.86,3.01,7.86,4.45,4.53,4.64
Lauren Monica Gilmore,AWP 3 - Analytical Writing,FA23,42,92.86,3.17,8.46,4.71,4.88,4.83
Schuyler E. Eastin,AWP 3 - Analytical Writing,FA23,42,92.86,2.73,8.33,4.48,4.52,4.54
Jerrod A Heiser,AWP 3 - Analytical Writing,FA23,42,78.57,3.47,7.50,4.60,4.52,4.71
Guy Zimmerman,AWP 3 - Analytical Writing,FA23,28,78.57,2.77,7.31,3.95,3.86,4.09
Alexandra Sartor,AWP 3 - Analytical Writing,FA23,29,93.1,3.45,7.31,4.69,4.69,4.75
Veronica Ann Christie,AWP 3 - Analytical Writing,FA23,42,95.24,3.19,6.54,4.44,4.63,4.73
Natalie Ann Wilson,AWP 3 - Analytical Writing,FA23,43,97.68,3.11,7.00,4.22,4.36,4.64
Stacy A Steinberg,AWP 3 - Analytical Writing,FA23,28,92.85,3.13,7.14,4.55,4.64,4.76
Jennifer A Falcon,AWP 3 - Analytical Writing,FA23,41,97.56,3.01,6.92,4.63,4.62,4.75
Courtney L O'Neil,AWP 3 - Analytical Writing,FA23,42,83.33,3.28,6.67,4.64,4.65,4.64
Jacqueline Spicer,AWP 3 - Analytical Writing,FA23,42,85.71,2.46,5.36,4.25,4.35,4.60
Olena Tsurska Svetina,AWP 3 - Analytical Writing,FA23,40,90.0,3.34,8.08,4.27,4.29,4.50
Bailee Daniele Chandler,AWP 3 - Analytical Writing,FA23,41,95.12,3.44,7.86,4.44,4.54,4.57
Frances Margaret Ajo,AWP 3 - Analytical Writing,FA23,43,97.67,2.97,7.50,4.50,4.48,4.64
Amy Liane Zroka,AWP 3 - Analytical Writing,FA23,42,69.05,3.01,7.73,4.25,4.20,4.73
Melinda G Grant,AWP 3 - Analytical Writing,FA23,41,92.69,3.08,7.31,4.63,4.63,4.75
Samuel Kolodezh,AWP 3 - Analytical Writing,FA23,43,83.72,2.96,8.08,4.42,4.54,4.75
Kayleigh Kumiko Setoda,AWP 3 - Analytical Writing,FA23,43,95.35,3.16,6.92,4.69,4.77,4.87
Kelsey Sara Vaughn,AWP 3 - Analytical Writing,FA23,42,88.1,3.31,6.92,4.46,4.54,4.62
Christa Michelle Tiernan,AWP 3 - Analytical Writing,FA23,42,78.57,2.75,7.27,4.27,4.31,4.45
William Jadie Jones,AWP 3 - Analytical Writing,FA23,40,95.0,3.18,7.31,4.63,4.54,4.84
Graham T Hall,AWP 3 - Analytical Writing,FA23,39,82.05,3.09,7.50,4.41,4.53,4.69
Geoffrey Scott West,AWP 3 - Analytical Writing,FA23,14,64.29,2.44,7.22,4.44,4.50,4.69
