INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Patrycja Anna Hopkins,CHEM 6A - General Chemistry I,WI24,230,36.52,2.81,5.00,4.22,4.10,4.47
Tin Yiu Lam,CHEM 6A - General Chemistry I,WI24,236,36.44,2.61,5.59,4.05,4.04,4.40
Kimberly Schurmeier,CHEM 6A - General Chemistry I,WI24,248,38.31,3.17,6.41,4.47,4.49,4.66
Brian Leigh,CHEM 6A - General Chemistry I,FA23,307,39.74,3.13,7.75,4.38,4.36,4.63
Kimberly Schurmeier,CHEM 6A - General Chemistry I,FA23,613,48.29,3.06,7.52,4.23,4.25,4.53
Brian M Zid,CHEM 6A - General Chemistry I,FA23,335,50.45,3.09,6.75,4.17,4.11,4.49
Stacey Brydges,CHEM 6A - General Chemistry I,FA23,654,76.76,2.99,6.95,4.17,4.12,4.52
Dontarie M Stallings,CHEM 6A - General Chemistry I,FA23,639,47.73,3.29,7.38,4.47,4.52,4.66
Carlos Anthony Vasquez,CHEM 6A - General Chemistry I,S223,40,47.5,2.96,6.94,4.63,4.64,4.83
Stephanie L Mora Garcia,CHEM 6A - General Chemistry I,S123,54,59.26,2.65,6.41,4.36,4.35,4.59
