INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Romain Delaville,CAT 125 - Public Rhetoric & Prac Comm,WI24,20,35.0,3.33,2.71,4.50,4.64,4.89
David Joseph Bigham,CAT 125 - Public Rhetoric & Prac Comm,WI24,59,28.81,3.67,6.50,4.44,4.60,4.75
Jennifer Anne Marchisotto,CAT 125 - Public Rhetoric & Prac Comm,WI24,37,81.08,3.91,3.38,4.36,4.62,4.61
Maya Alysia Vanderschuit,CAT 125 - Public Rhetoric & Prac Comm,WI24,55,74.55,3.43,3.80,4.05,4.24,4.68
Celeste Georgianna Morales,CAT 125 - Public Rhetoric & Prac Comm,WI24,48,27.08,3.6,3.00,4.17,4.25,4.58
Becca Rae Rose,CAT 125 - Public Rhetoric & Prac Comm,WI24,26,42.31,3.4,3.67,3.67,4.00,4.42
Adriana Tosun,CAT 125 - Public Rhetoric & Prac Comm,WI24,40,75.0,3.86,3.57,4.43,4.52,4.62
Matthew Joseph Irwin,CAT 125 - Public Rhetoric & Prac Comm,WI24,57,36.84,3.77,3.80,4.05,4.05,4.45
Maya Alysia Vanderschuit,CAT 125 - Public Rhetoric & Prac Comm,FA23,56,66.07,3.6,6.00,3.72,3.63,4.33
Celeste Georgianna Morales,CAT 125 - Public Rhetoric & Prac Comm,FA23,60,26.67,3.58,5.00,4.17,4.36,4.58
Becca Rae Rose,CAT 125 - Public Rhetoric & Prac Comm,FA23,39,48.72,3.65,5.00,4.14,4.30,4.50
Jennifer Anne Marchisotto,CAT 125 - Public Rhetoric & Prac Comm,FA23,59,81.36,3.87,5.67,4.50,4.63,4.75
David Joseph Bigham,CAT 125 - Public Rhetoric & Prac Comm,FA23,40,45.0,3.88,5.00,4.72,4.81,4.63
Adriana Tosun,CAT 125 - Public Rhetoric & Prac Comm,FA23,40,85.0,3.8,4.69,4.36,4.31,4.63
Matthew Joseph Irwin,CAT 125 - Public Rhetoric & Prac Comm,FA23,59,45.76,3.73,5.83,3.67,3.54,3.78
Jennifer Anne Marchisotto,CAT 125 - Public Rhetoric & Prac Comm,S223,20,55.0,3.92,5.45,4.67,4.84,4.89
Romain Delaville,CAT 125 - Public Rhetoric & Prac Comm,S123,17,29.41,3.81,7.00,3.90,4.15,4.10
Becca Rae Rose,CAT 125 - Public Rhetoric & Prac Comm,S123,19,31.58,3.69,5.83,4.58,4.75,4.88
