INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Tina Mae Hyland,CAT 125R - Pub Rhet & Prac Comm Online,WI24,60,38.33,3.95,3.25,4.23,4.03,4.34
Lauryn Alissa Smith,CAT 125R - Pub Rhet & Prac Comm Online,WI24,57,64.91,3.33,4.08,4.25,4.25,4.37
Adriana Tosun,CAT 125R - Pub Rhet & Prac Comm Online,WI24,19,52.63,3.72,3.80,4.53,4.44,4.68
Adriana Tosun,CAT 125R - Pub Rhet & Prac Comm Online,FA23,20,85.0,3.76,5.00,4.54,4.64,4.74
Tina Mae Hyland,CAT 125R - Pub Rhet & Prac Comm Online,FA23,59,42.37,3.93,5.00,4.58,4.68,4.80
Lauryn Alissa Smith,CAT 125R - Pub Rhet & Prac Comm Online,FA23,59,81.35,3.29,5.00,4.32,4.41,4.62
Lauryn Alissa Smith,CAT 125R - Pub Rhet & Prac Comm Online,S223,20,60.0,3.28,5.83,4.25,4.49,4.54
Matthew Joseph Irwin,CAT 125R - Pub Rhet & Prac Comm Online,S223,20,30.0,3.91,6.67,4.71,4.71,4.58
Matthew Joseph Irwin,CAT 125R - Pub Rhet & Prac Comm Online,S123,18,50.0,3.89,6.67,4.00,4.00,4.06
Tina Mae Hyland,CAT 125R - Pub Rhet & Prac Comm Online,S123,19,31.58,3.94,5.83,4.35,4.52,4.67
Maya Alysia Vanderschuit,CAT 125R - Pub Rhet & Prac Comm Online,S123,38,42.1,3.72,6.25,4.48,4.21,4.37
