INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Matthew William Draper,INTL 190 - Seminar/International Studies,WI24,11,27.27,3.82,7.00,4.58,4.67,4.67
Patrick H. Patterson,INTL 190 - Seminar/International Studies,WI24,11,81.82,3.62,9.22,4.72,4.64,4.75
Maureen Catherine Feeley,INTL 190 - Seminar/International Studies,WI24,17,23.53,3.64,8.50,4.94,4.94,5.00
Jana Fortier,INTL 190 - Seminar/International Studies,WI24,20,35.0,3.71,4.71,4.43,4.32,4.57
Vidya Nadkarni,INTL 190 - Seminar/International Studies,WI24,17,41.18,3.31,6.14,4.57,4.43,4.57
Joel Keith Day,INTL 190 - Seminar/International Studies,WI24,19,42.11,3.69,7.75,4.78,4.78,4.91
Michael Joseph Lettieri,INTL 190 - Seminar/International Studies,WI24,15,60.0,3.37,5.67,4.92,4.86,4.94
Alan S Segui,INTL 190 - Seminar/International Studies,FA23,21,33.33,3.03,7.86,4.46,4.50,4.57
Bradford C Auerbach,INTL 190 - Seminar/International Studies,FA23,27,88.89,3.18,6.07,4.57,4.55,4.79
Jeffrey F Scott,INTL 190 - Seminar/International Studies,FA23,10,30.0,3.47,8.33,5.00,5.00,5.00
Munseob Lee,INTL 190 - Seminar/International Studies,FA23,10,30.0,3.6,5.00,4.50,4.67,4.58
Jeffrey C Gagnon,INTL 190 - Seminar/International Studies,S223,14,21.43,3.67,8.33,4.92,4.83,4.75
Alan S Segui,INTL 190 - Seminar/International Studies,S123,14,28.57,3.03,7.50,4.50,4.75,4.94
