INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Carrie King Wastal,MCWP 50 - Critical Writing,WI24,15,100.0,3.43,6.33,4.45,4.42,4.49
Pamela Morgan Redela,MCWP 50 - Critical Writing,WI24,58,58.62,3.07,5.67,4.10,4.17,4.54
Andrea L Carter,MCWP 50 - Critical Writing,WI24,58,89.66,3.36,8.06,4.03,4.12,4.68
Michael James Morshed,MCWP 50 - Critical Writing,WI24,58,53.45,3.15,8.25,4.50,4.53,4.63
Haydee Marie Smith,MCWP 50 - Critical Writing,WI24,59,37.29,3.27,7.00,4.50,4.75,4.91
Vincent Minhduc Pham,MCWP 50 - Critical Writing,WI24,56,85.71,3.13,8.25,3.83,3.74,4.20
Jason Michael Bartulis,MCWP 50 - Critical Writing,WI24,59,40.68,3.2,8.20,4.17,4.54,4.71
Kelly B Silva,MCWP 50 - Critical Writing,WI24,60,75.0,3.02,6.38,4.45,4.38,4.63
Laurie Elizabeth Nies,MCWP 50 - Critical Writing,WI24,20,80.0,3.43,6.38,4.59,4.69,4.70
Jarret Krone,MCWP 50 - Critical Writing,WI24,59,67.8,3.39,6.38,4.52,4.38,4.74
Jennifer A Carter,MCWP 50 - Critical Writing,WI24,58,27.59,2.76,5.00,4.33,4.33,4.29
Carrie King Wastal,MCWP 50 - Critical Writing,FA23,15,86.67,3.43,7.69,4.67,4.60,4.69
Michael James Morshed,MCWP 50 - Critical Writing,FA23,56,67.86,2.93,7.50,4.16,4.28,4.70
Kelly B Silva,MCWP 50 - Critical Writing,FA23,56,92.86,2.88,6.79,4.41,4.48,4.80
