INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Graham Bishop,SYN 2 - Inquiring/Changing Planet,WI24,40,85.0,3.69,4.33,4.47,4.64,4.72
Kirstyn Courtney Hom,SYN 2 - Inquiring/Changing Planet,WI24,40,65.0,3.92,3.71,4.05,4.22,4.67
Mark Difruscio,SYN 2 - Inquiring/Changing Planet,WI24,40,85.0,4.0,3.00,4.42,4.52,4.65
Emily Browne,SYN 2 - Inquiring/Changing Planet,WI24,39,87.18,3.93,3.78,4.40,4.57,4.76
Tarang Tripathi,SYN 2 - Inquiring/Changing Planet,WI24,41,46.34,3.99,2.50,4.66,4.75,4.69
Adrian Vega,SYN 2 - Inquiring/Changing Planet,WI24,40,55.0,3.88,3.00,4.02,4.25,4.45
James Cary Deavenport,SYN 2 - Inquiring/Changing Planet,WI24,19,42.11,4.0,3.50,3.94,4.32,4.53
Arthur Laird Atkinson,SYN 2 - Inquiring/Changing Planet,WI24,39,30.77,3.91,2.67,4.17,4.38,4.33
Briana Marie Iatarola,SYN 2 - Inquiring/Changing Planet,WI24,40,40.0,4.0,4.75,4.78,4.87,4.84
Hanna Jean Tawater,SYN 2 - Inquiring/Changing Planet,WI24,39,89.74,3.97,3.67,4.65,4.73,4.74
Hanna Jean Tawater,SYN 2 - Inquiring/Changing Planet,FA23,20,80.0,3.99,5.00,4.65,4.81,4.86
Arthur Laird Atkinson,SYN 2 - Inquiring/Changing Planet,FA23,22,18.18,3.73,5.00,4.81,4.94,5.00
Leslie Rose Meyer,SYN 2 - Inquiring/Changing Planet,FA23,39,58.97,3.85,5.00,4.56,4.67,4.79
Emily Browne,SYN 2 - Inquiring/Changing Planet,FA23,20,90.0,3.88,5.28,4.48,4.63,4.58
Kirstyn Courtney Hom,SYN 2 - Inquiring/Changing Planet,FA23,40,80.0,3.95,5.29,4.18,4.46,4.72
Mark Difruscio,SYN 2 - Inquiring/Changing Planet,FA23,37,27.03,3.99,5.00,4.17,4.33,4.42
James Cary Deavenport,SYN 2 - Inquiring/Changing Planet,FA23,22,31.82,3.99,4.29,4.75,4.50,4.61
Graham Bishop,SYN 2 - Inquiring/Changing Planet,FA23,40,90.0,3.87,5.00,4.37,4.62,4.83
Emily Browne,SYN 2 - Explorations/Changing Planet,S223,16,43.75,3.98,7.14,4.82,4.70,4.81
Adrian Vega,SYN 2 - Explorations/Changing Planet,S223,16,43.75,3.82,7.14,3.79,3.59,4.11
Briana Marie Iatarola,SYN 2 - Explorations/Changing Planet,S123,28,42.86,3.93,8.33,4.42,4.83,4.75
James Cary Deavenport,SYN 2 - Explorations/Changing Planet,S123,14,21.43,3.71,6.67,4.50,4.67,4.42
Ryan Glenn Rosenberg,SYN 2 - Explorations/Changing Planet,S123,16,100.0,3.88,5.31,4.69,4.93,4.91
